run_id,repeat_id,split_seed,model,horizon,target_metric,feature_set,candidate_set,balancing_mode,decision_rule,target_class_distribution_json,predicted_class_distribution_json
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_3,default,top_1,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_3,default,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_3,balanced,top_1,"{""0"": 59, ""2"": 1}","{""0"": 59, ""2"": 1}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.50,"{""0"": 59, ""2"": 1}","{""0"": 59, ""2"": 1}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.60,"{""0"": 59, ""2"": 1}","{""0"": 59, ""2"": 1}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.70,"{""0"": 59, ""2"": 1}","{""0"": 60}"
meta_modeling_experiments_v1_20260331T214515Z,1,42,logistic_regression,1,rmse,full_features,top_3,balanced,confidence_fallback_0.80,"{""0"": 59, ""2"": 1}","{""0"": 60}"
