feature_group,feature_name,internal_feature_column
Long memory,Rescaled-range Hurst exponent,hurst_rs
Long memory,DFA Hurst exponent,hurst_dfa
Linear dependence,Return autocorrelation at lag 2,acf_lag_2
Linear dependence,Return autocorrelation at lag 5,acf_lag_5
Linear dependence,Return autocorrelation at lag 10,acf_lag_10
Linear dependence,Return autocorrelation at lag 25,acf_lag_25
Linear dependence,Return autocorrelation at lag 50,acf_lag_50
Linear dependence,Return autocorrelation at lag 100,acf_lag_100
Linear dependence,Lo-MacKinlay variance ratio with q = 10,vr_q10
Linear dependence,Ljung-Box statistic up to lag 50,lb_ret_stat_50
Volatility dependence,Absolute-return autocorrelation at lag 2,abs_acf_lag_2
Volatility dependence,Absolute-return autocorrelation at lag 5,abs_acf_lag_5
Volatility dependence,Absolute-return autocorrelation at lag 10,abs_acf_lag_10
Volatility dependence,Absolute-return autocorrelation at lag 25,abs_acf_lag_25
Volatility dependence,Absolute-return autocorrelation at lag 50,abs_acf_lag_50
Complexity and spectrum,Normalized Lempel-Ziv complexity,lz_complexity
Complexity and spectrum,Normalized permutation entropy,permutation_entropy
Complexity and spectrum,Welch spectral flatness,spectral_flatness
Distribution and tails,Fisher excess kurtosis,kurtosis
Distribution and tails,Moors robust kurtosis,robust_kurtosis
Distribution and tails,Upper-tail quantile ratio,tail_ratio_upper
Distribution and tails,Hill tail index,hill_tail_index
Phase-space structure,Average-mutual-information delay,selected_delay_tau
Phase-space structure,False-nearest-neighbor embedding dimension,embedding_dimension
Phase-space structure,Grassberger-Procaccia correlation dimension,correlation_dimension
